id,name,brand,category,editorialStatus,qualityLevel,sourceCoverage,officialProductPage,officialSourceType,sourceCount,lastVerified,currentStatus,actualUse,priority5,claimRisk,severity,missingFields,nextAction,internalLinks,columnLinks,ranking,priorityScore,priorityReason
1,キュレル 潤浸保湿化粧水 III（とてもしっとり）,キュレル,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,36,19,true,55,ランキング導線あり・コラムリンク19件・内部リンク36件・編集部参考指標4.6以上
2,肌ラボ 極潤 ヒアルロン液,ロート製薬,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,14,6,true,46,ランキング導線あり・コラムリンク6件・内部リンク14件
3,無印良品 化粧水 敏感肌用 高保湿タイプ,無印良品,化粧水,editorial,B,mostly_complete,,official-successor,1,2026-08-10,legacy,false,true,ingredient_tag_not_officially_verified,Low,product_specific_official_page | verified_ingredients,掲載世代と現行品の対応を再確認し、旧製品案内を維持,9,2,true,29,ランキング導線あり・コラムリンク2件・内部リンク9件
4,Anua ドクダミ77% スージングトナー,Anua,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,81,14,true,55,ランキング導線あり・コラムリンク14件・内部リンク81件・編集部参考指標4.6以上
5,ミノン アミノモイスト モイストチャージローション II,第一三共ヘルスケア,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,20,7,true,52,ランキング導線あり・コラムリンク7件・内部リンク20件
6,ヒフミド エッセンスローション,小林製薬,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,22,10,false,40,コラムリンク10件・内部リンク22件
7,イニスフリー グリーンティー ヒアルロン スキン,イニスフリー,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,9,1,true,25,ランキング導線あり・コラムリンク1件・内部リンク9件
8,ファンケル モイストリファイン 化粧液 II,ファンケル,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,8,1,false,12,コラムリンク1件・内部リンク8件
9,アクアレーベル バランスケア ローション,資生堂,化粧水,editorial,D,insufficient,,,0,,status_unknown,false,false,product_specific_source_missing | ingredient_tag_not_officially_verified,Low,product_specific_official_page | manufacturer_category | content_amount | usage | verified_ingredients | current_status,商品専用メーカー公式ページを調査し、商品状態・仕様・成分タグを確認,12,4,false,28,コラムリンク4件・内部リンク12件
10,ナチュリエ ハトムギ化粧水,イミュ,化粧水,editorial,A,complete,https://www.naturie-net.jp/variation,official-brand | official-product,2,2026-08-10,current,false,true,ingredient_tag_not_officially_verified,Low,verified_ingredients,不足項目を公式情報で確認: verified_ingredients,20,8,false,40,コラムリンク8件・内部リンク20件
